Date,Event Name,Venue,Location
2025-11-26,Hania Rani @ Barbican Centre,Barbican Centre,"London, UK"
2025-11-21,Hiromi @ Barbican Centre,Barbican Centre,"London, UK"
2025-11-20,Falle Nioke @ The Lexington,The Lexington,"London, UK"
2025-11-15,Morchella @ The Waiting Room,The Waiting Room,"Stoke Newington, UK"
2025-11-08,Pia Fraus @ Strongroom Bar,Strongroom Bar,"London, UK"
2025-11-01,Public Service Broadcasting @ Barbican Centre,Barbican Centre,"London, UK"
2025-10-02,The Beta Band @ Roundhouse,Roundhouse,"London, UK"
2025-09-06,"Sigur Rós @ Großer Saal, Wiener Konzerthaus","Großer Saal, Wiener Konzerthaus","Vienna, Austria"
2025-07-30,Oasis @ Wembley Stadium,Wembley Stadium,"London, UK"
2025-07-12,Kaleidoscope Festival 2025 @ Alexandra Palace,Alexandra Palace,"London, UK"
2025-06-28,Jeff Mills @ Barbican Centre,Barbican Centre,"London, UK"
2025-06-22,LCD Soundsystem @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2025-05-29,"Bug Teeth @ The Windmill, Brixton","The Windmill, Brixton","Brixton, UK"
2025-05-23,Wide Awake Festival 2025 @ Brockwell Park,Brockwell Park,"London, UK"
2025-04-10,Slowdive @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2025-03-26,Spiritualized @ Barbican Hall,Barbican Hall,"London, UK"
2025-03-13,Kelly Lee Owens @ Troxy,Troxy,"London, UK"
2024-12-06,Confidence Man @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2024-11-20,deary @ The Lexington,The Lexington,"London, UK"
2024-11-08,Nia Archives @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2024-10-24,GoGo Penguin @ Outernet,Outernet,"London, UK"
2024-10-05,Efterklang @ Barbican Hall,Barbican Hall,"London, UK"
2024-10-04,Slowdive @ EartH,EartH,"London, UK"
2024-09-29,The Go! Team @ The Button Factory,The Button Factory,"Dublin, Ireland"
2024-09-27,Godspeed You! Black Emperor @ National Stadium,National Stadium,"Dublin, Ireland"
2024-06-24,Rodrigo y Gabriela @ KOKO,KOKO,"London, UK"
2024-05-25,Wide Awake Festival 2024 @ Wide Awake Festival,Wide Awake Festival,"London, UK"
2024-04-11,Altın Gün @ Troxy,Troxy,"London, UK"
2024-04-06,Anoushka Shankar @ Barbican Centre,Barbican Centre,"London, UK"
2024-04-05,Max Cooper @ Barbican Centre,Barbican Centre,"London, UK"
2024-02-17,Róisín Murphy @ Alexandra Palace,Alexandra Palace,"London, UK"
2024-02-15,Issey Cross @ The Carpet Shop UK,The Carpet Shop UK,"London, UK"
2024-01-19,Fabio & Grooverider And The Outlook Orchestra @ Eventim Apollo,Eventim Apollo,"London, UK"
2024-01-10,Rick Simpson @ Ronnie Scott's Jazz Club,Ronnie Scott's Jazz Club,"London, UK"
2023-12-06,mclusky @ Dingwalls,Dingwalls,"London, UK"
2023-11-18,Jessie Ware @ Alexandra Palace,Alexandra Palace,"London, UK"
2023-11-11,"Dignan Porch @ The Windmill, Brixton","The Windmill, Brixton","Brixton, UK"
2023-10-21,Hot Chip @ Drumsheds,Drumsheds,"London, UK"
2023-09-09,Lalalar @ Jazz Cafe,Jazz Cafe,"London, UK"
2023-09-08,Jeff Mills @ Barbican Centre,Barbican Centre,"London, UK"
2023-07-20,Standon Calling 2023 @ Standon Lordship,Standon Lordship,"Standon, UK"
2023-07-06,Bruce Springsteen @ Hyde Park,Hyde Park,"London, UK"
2023-07-01,Pulp @ Finsbury Park,Finsbury Park,"London, UK"
2023-06-30,Guns N' Roses @ Hyde Park,Hyde Park,"London, UK"
2023-05-23,Four Tet @ Alexandra Palace,Alexandra Palace,"London, UK"
2023-04-08,De La Soul @ Royal Albert Hall,Royal Albert Hall,"London, UK"
2023-03-17,The Fallen Sky @ Strongroom Bar,Strongroom Bar,"London, UK"
2023-03-09,Young Fathers @ Roundhouse,Roundhouse,"London, UK"
2022-11-25,Julia Holter @ Barbican Centre,Barbican Centre,"London, UK"
2022-11-19,"Secret Shine @ The Victoria, Dalston","The Victoria, Dalston","London, UK"
2022-11-11,Sigur Rós @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2022-11-03,Michael Rother @ Clapham Grand,Clapham Grand,"London, UK"
2022-10-12,Double Helix (UK) @ The Lower Third,The Lower Third,"London, UK"
2022-08-11,Bloodywood @ Boston Music Room,Boston Music Room,"London, UK"
2022-07-22,Standon Calling 2022 @ Standon Lordship,Standon Lordship,"Standon, UK"
2022-05-26,Bob Vylan @ The Underworld,The Underworld,"Camden, UK"
2022-05-11,Nick Mason @ Fairfield Halls,Fairfield Halls,"Croydon, UK"
2022-04-29,Ride @ Roundhouse,Roundhouse,"London, UK"
2022-04-17,Groove Armada @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2022-04-09,Simple Minds @ First Direct Bank Arena,First Direct Bank Arena,"Leeds, UK"
2022-03-17,Imarhan @ The Dome,The Dome,"London, UK"
2022-02-26,Ulrich Schnauss @ Queen Elizabeth Hall - Southbank Centre,Queen Elizabeth Hall - Southbank Centre,"London, UK"
2022-02-10,GoGo Penguin @ Barbican Centre,Barbican Centre,"London, UK"
2022-02-05,Chameleons @ Islington Assembly Hall,Islington Assembly Hall,"Islington, UK"
2021-12-16,Little Simz @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2021-12-15,Bossk @ The Garage,The Garage,"London, UK"
2021-11-26,Georgia @ Electric Brixton,Electric Brixton,"London, UK"
2021-11-23,Jon Hopkins @ Royal Albert Hall,Royal Albert Hall,"London, UK"
2021-11-19,The Jesus and Mary Chain @ Roundhouse,Roundhouse,"London, UK"
2021-11-15,Mogwai @ Pryzm,Pryzm,"Kingston Upon Thames, UK"
2021-11-13,Moses Boyd @ Hackney Church,Hackney Church,"London, UK"
2021-11-01,Matthew Halsall @ Barbican Centre,Barbican Centre,"London, UK"
2021-09-18,Hospitality Weekend In The Woods 2021 @ Beckenham Place Park,Beckenham Place Park,"London, UK"
2021-09-18,Global Communication @ Jazz Cafe,Jazz Cafe,"London, UK"
2021-09-14,Samuel Jack @ Omeara,Omeara,"London, UK"
2021-09-11,Bicep @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2021-09-05,Cross The Tracks 2021 @ Brockwell Park,Brockwell Park,"London, UK"
2021-09-03,Wide Awake Festival 2021 @ Brockwell Park,Brockwell Park,"London, UK"
